Price,Square Meters,Rooms,Bathrooms,Zona
1.650,,,,Barrio de Salamanca
990,,,,Villaverde
780,,,,Centro
1.075,,,,Carabanchel
1.020,,,,Villaverde
875,,,,Villaverde
4.000,,,,Centro
1.505,,,,Chamberí
1.750,,,,Barrio de Salamanca
900,,,,Blas
1.099,,,,Salamanca
940,,,,Chamberí
800,,,,Tetuán
3.750,,,,Retiro
4.500,,,,Chamartín
1.800,,,,Retiro
1.150,,,,Centro
2.950,,,,Retiro
2.430,,,,Chamberí
4.220,,,,Centro
2.600,,,,Retiro
960,,,,Puente de Vallecas
3.750,,,,Barrio de Salamanca
1.450,,,,Chamberí
995,,,,Blas
2.500,,,,Retiro
1.350,,,,Villa de Vallecas
1.100,,,,Villaverde
875,,,,Villaverde
1.360,,,,Vicálvaro
1.000,,,,Arganzuela
885,76,2,1,Villaverde
950,63,3,1,Villaverde
1.000,40,1,1,Centro
900,,,,Tetuán
990,,,,Moncloa - Aravaca
2.930,,,,Chamberí
4.500,,,,Retiro
3.700,,,,Chamartín
1.800,,,,Barrio de Salamanca
1.450,,,,Moncloa - Aravaca
1.675,,,,Retiro
2.000,,,,Barrio de Salamanca
935,,,,Villaverde
1.270,,,,Villa de Vallecas
899,,,,Villaverde
1.245,,,,Villa de Vallecas
2.600,,,,Moncloa - Aravaca
2.930,,,,Chamberí
1.050,,,,Carabanchel
1.500,,,,Barrio de Salamanca
1.900,,,,Arganzuela
1.650,,,,Arganzuela
1.450,,,,Barrio de Salamanca
2.650,,,,Chamberí
2.250,,,,Hortaleza
1.200,,,,Salamanca
3.600,,,,Centro
3.150,,,,Chamberí
1.100,,,,Villaverde
2.300,,,,Centro
1.060,,,,Alto
1.050,,,,Madrid
850,,,,Alto
,,,,Madrid
,,,,Alto
,,,,Madrid
2.800,100,2,2,Hortaleza
2.650,100,2,2,Centro
2.000,,,,Tetuán
2.200,,,,Centro
1.300,,,,Chamartín
1.100,,,,Arganzuela
1.100,,,,Tetuán
930,,,,Vicálvaro
1.400,,,,Pardo
1.100,,,,Latina
860,,,,Latina
2.950,,,,Salamanca
2.800,,,,Salamanca
2.250,,,,Centro
1.130,,,,Vallecas
1.145,,,,Vallecas
1.350,,,,Chamartín
1.800,,,,Tetuán
2.300,,,,Chamartín
2.300,,,,Tetuán
1.800,,,,Salamanca
995,,,,Villaverde
1.040,,,,Carabanchel
1.060,,,,Blas
5.600,,,,Barrio de Salamanca
2.100,,,,Tetuán
1.750,,,,Chamberí
1.850,,,,Retiro
2.700,,,,Chamartín
1.400,,,,Retiro
2.500,,,,Conde Orgaz - Piovera
2.500,,,,Madrid
,,,,Conde Orgaz - Piovera
,,,,Madrid
3.300,,,,Retiro
1.200,,,,Latina
1.415,,,,Ciudad Lineal
1.250,,,,Hortaleza
915,,,,Blas
895,,,,Blas
1.350,,,,Centro
2.000,,,,Tetuán
1.650,,,,Retiro
960,,,,Villaverde
1.600,,,,Tetuán
3.200,,,,Retiro
2.400,,,,Centro
1.250,,,,Lineal
15.000,,,,Salamanca
3.300,,,,Salamanca
3.200,,,,Chamberí
1.150,,,,Chamartín
1.100,,,,Centro
1.390,,,,Tetuán
2.900,,,,Salamanca
1.000,,,,Salamanca
960,,,,Centro
1.300,,,,Usera
975,,,,Latina
1.075,,,,Salamanca
1.195,,,,Salamanca
1.800,,,,Chamberí
1.350,,,,Chamberí
999,,,,Centro
4.200,,,,Salamanca
1.100,,,,Latina
1.000,,,,Villaverde
1.800,,,,Aravaca
1.000,,,,Centro
950,,,,Latina
800,,,,Tetuán
2.800,,,,Lineal
16.500,,,,Aravaca
1.700,,,,Arganzuela
1.465,,,,Arganzuela
1.300,,,,Chamartín
1.695,,,,Chamberí
1.810,,,,Chamartín
850,,,,Aravaca
1.050,,,,Aravaca
1.500,,,,Aravaca
1.550,,,,Chamberí
2.650,,,,Ciudad Lineal
1.370,,,,Chamberí
1.600,,,,Retiro
1.600,,,,Pardo
1.000,,,,Arganzuela
1.200,,,,Tetuán
2.350,,,,Barrio de Salamanca
2.300,,,,Chamartín
1.300,,,,Barrio de Salamanca
2.100,,,,Barrio de Salamanca
1.400,,,,Fuencarral - El Pardo
1.350,,,,Centro
2.193,,,,Chamartín
2.200,,,,Centro
3.995,,,,Chamartín
3.000,,,,Chamartín
1.300,,,,Barrio de Salamanca
1.300,,,,Latina
1.500,,,,Chamberí
1.250,,,,Arganzuela
1.500,,,,Arganzuela
2.250,,,,Tetuán
1.200,,,,Moncloa - Aravaca
2.400,,,,Tetuán
1.700,,,,Barrio de Salamanca
850,,,,Moratalaz
950,,,,Tetuán
1.100,,,,Moncloa - Aravaca
1.760,,,,Centro
3.200,,,,Retiro
2.100,,,,Chamartín
2.355,,,,Retiro
1.000,,,,Barrio de Salamanca
2.000,,,,Barrio de Salamanca
2.950,,,,Retiro
1.295,,,,Centro
1.100,,,,Pardo
1.600,,,,Moncloa - Aravaca
1.250,,,,Latina
850,,,,Tetuán
825,,,,Centro
800,,,,Hortaleza
800,,,,Usera
750,,,,Aravaca
1.790,,,,Chamberí
2.400,,,,Chamberí
1.490,,,,Centro
1.350,,,,Barrio de Salamanca
4.200,,,,Chamberí
1.800,,,,Tetuán
1.700,,,,Retiro
2.705,,,,Barrio de Salamanca
1.694,,,,Hortaleza
990,,,,Tetuán
2.100,,,,Centro
1.900,,,,Chamartín
1.250,,,,Arganzuela
1.900,,,,Arganzuela
1.200,,,,Centro
3.200,,,,Barrio de Salamanca
1.450,,,,Centro
850,,,,Centro
1.200,,,,Vallecas
4.500,,,,Chamartín
2.150,,,,Chamartín
2.500,,,,Chamberí
1.200,,,,Tetuán
3.500,,,,Centro
